"MB QR","ASIN","ORDER CODE","SKU USA","FNSKU USA","Nombre","SKU SPAIN","FNSKU SPAIN","SKU UK","FNSKU UK","MB Packing","","","","","","","","","","","","","",""
"BTPLCULCU-0DDF-10M1P-80MB","B00T89DIQW","BTPLCULCU-0DDF-10M1P","NC-36IF-LKRF","X000Q79PLX","LC to LC Fiber Patch Cable Single Mode Duplex - 10m (32.8ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPLCULCU-0DDF-10M1P","B00T89DIQW","BTPLCULCU-0DDF-10M1P","X00116QCNT","80","","","","","","","","","","","","","",""
"BTPLCUSCU-0DDF-10M1P-80MB","B00T89G0OO","BTPLCUSCU-0DDF-10M1P","J0-NR3P-MRJV","X000Q7BQBF","LC to SC Fiber Patch Cable Single Mode Duplex - 10m (32.8ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPLCUSCU-0DDF-10M1P","X000WUPC5J","BTPLCUSCU-0DDF-10M1P","X000WG1PSB","80","","","","","","","","","","","","","",""
"BTPLCUSTU-0DDF-10M1P-80MB","B00T89HQSS","BTPLCUSTU-0DDF-10M1P","AJ-9MGM-SD08","X000Q79WGV","LC to ST Fiber Patch Cable Single Mode Duplex - 10m (32.8ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPLCUSTU-0DDF-10M1P","X000WG43XZ","BTPLCUSTU-0DDF-10M1P","X000WRCTZD","80","","","","","","","","","","","","","",""
"BTPSCUSCU-0DDF-10M1P-80MB","B00T89JE6K","BTPSCUSCU-0DDF-10M1P","CF-OA18-4XSU","X000Q7BQAV","SC to SC Fiber Patch Cable Single Mode Duplex - 10m (32.8ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSCUSCU-0DDF-10M1P","B00T89JE6K","BTPSCUSCU-0DDF-10M1P","X00110IHKL","80","","","","","","","","","","","","","",""
"BTPSCUSTU-0DDF-10M1P-80MB","B00T89KUDQ","BTPSCUSTU-0DDF-10M1P","MY-5EDZ-F50K","X000Q7BQAL","SC to ST Fiber Patch Cable Single Mode Duplex - 10m (32.8ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSCUSTU-0DDF-10M1P","B00T89KUDQ","BTPSCUSTU-0DDF-10M1P","X00116QCHZ","80","","","","","","","","","","","","","",""
"BTPSTUSTU-0DDF-10M1P-80MB","B00T89MHUA","BTPSTUSTU-0DDF-10M1P","PP-TJ8U-O78M","X000Q7BQB5","ST to ST Fiber Patch Cable Single Mode Duplex - 10m (32.8ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSTUSTU-0DDF-10M1P","B00T89MHUA","BTPSTUSTU-0DDF-10M1P","X00115KBZP","80","","","","","","","","","","","","","",""
"BTPSCAFCA-0DDF-10M1P-80MB","B01M5GBI0U","BTPSCAFCA-0DDF-10M1P","BT-FOAPCPCDU-SCFC-32FT1P","X0018ZOO8V","SC to FC Fiber Patch Cable Single Mode Duplex - 10m (32.8ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSCAFCA-0DDF-10M1P","B01M5GBI0U","BTPSCAFCA-0DDF-10M1P","X001185DJ1","80","","","","","","","","","","","","","",""
"BTPSCASCA-0DDF-10M1P-80MB","B01MDRBPF8","BTPSCASCA-0DDF-10M1P","BT-FOAPCPCDU-SCSC-32FT1P","X0018ZOTJP","SC to SC Fiber Patch Cable Single Mode Duplex - 10m (32.8ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSCASCA-0DDF-10M1P","X000WRCF43","BTPSCASCA-0DDF-10M1P","X000X7QE71","80","","","","","","","","","","","","","",""
"BTPLCALCA-0DDF-10M1P-80MB","B01MFCI3J8","BTPLCALCA-0DDF-10M1P","BT-FOAPCPCDU-LCLC-32FT1P","X0018RSJZ3","LC to LC Fiber Patch Cable Single Mode Duplex - 10m (32.8ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPLCALCA-0DDF-10M1P","X000WNKWDD","BTPLCALCA-0DDF-10M1P","X000WWJALT","80","","","","","","","","","","","","","",""
"BTPFCUFCU-0DDF-10M1P-80MB","B01MTCBAMY","BTPFCUFCU-0DDF-10M1P","BT-FOOS1PC-FCFC-32FT1P","X001D6LVL3","FC to FC Fiber Patch Cable Single Mode Duplex - 10m (32.8ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","","","BTPFCUFCU-0DC-10M1P","X000N4IGNT","80","","","","","","","","","","","","","",""
